index,costfn,value
0,greedy,138419.989
1,greedy,138419.989
2,greedy,138419.989
3,greedy,116206.59499999997
4,greedy,49550.745
5,greedy,49550.745
6,greedy,49550.745
7,greedy,40467.156
8,greedy,15231.109000000002
9,greedy,15231.109000000002
10,greedy,15231.109000000002
11,greedy,9174.425000000003
12,greedy,4127.136000000001
13,greedy,4127.136000000001
14,greedy,4127.136000000001
15,greedy,2108.7419999999993
16,greedy,89.34800000000001
17,greedy,89.34800000000001
18,greedy,89.34800000000001
19,greedy,89.34800000000001
20,greedy,89.34800000000001
21,greedy,88.95200000000001
22,greedy,88.95200000000001
0,normal,975.0889999999999
1,normal,975.0889999999999
2,normal,975.0889999999999
3,normal,874.2919999999999
4,normal,541.1149999999999
5,normal,490.745
6,normal,173.381
7,normal,69.99600000000001
8,normal,68.99600000000001
9,normal,68.99600000000001
10,normal,68.99600000000001
11,normal,68.99600000000001
12,normal,64.942
13,normal,64.942
