index,date,benchmark,params,exp,rules,cycles,cost,dir
0,Oct03-1605,qr-decomp,3,Oct03-2106-L7RQN,sqrtsgn_muls,489,129431966.98899996,completed/qr-decomp_3/Oct03-2106-L7RQN
1,Oct03-1605,qr-decomp,3,Oct03-2112-EIJNQ,muls,482,163521473.221,completed/qr-decomp_3/Oct03-2112-EIJNQ
2,Oct03-1605,qr-decomp,3,Oct03-2112-OIPAT,base,508,163521481.221,completed/qr-decomp_3/Oct03-2112-OIPAT
3,Oct03-1605,qr-decomp,3,Oct03-2106-6AGZY,sqrtsgn,484,129431969.98899996,completed/qr-decomp_3/Oct03-2106-6AGZY
