rule,name,value
ruler_0_lr,average,3.0059999999999993
ruler_0_lr-rev,average,3.0059999999999993
ruler_1_lr,average,3.0059999999999993
ruler_1_lr-rev,average,3.0059999999999993
ruler_2_r,average,3.0059999999999993
ruler_3_lr,average,3.0059999999999993
ruler_3_lr-rev,average,3.0059999999999993
ruler_4_r,average,3.0059999999999993
ruler_5_lr,average,3.0059999999999993
ruler_5_lr-rev,average,3.0059999999999993
ruler_6_lr,average,3.0059999999999993
ruler_6_lr-rev,average,3.0059999999999993
ruler_7_lr,average,3.0059999999999993
ruler_7_lr-rev,average,3.0059999999999993
ruler_8_lr,average,3.0059999999999993
ruler_8_lr-rev,average,3.0059999999999993
ruler_9_lr,average,3.0059999999999993
ruler_9_lr-rev,average,3.0059999999999993
ruler_10_lr,average,3.0059999999999993
ruler_10_lr-rev,average,3.0059999999999993
ruler_11_lr,average,3.0059999999999993
ruler_11_lr-rev,average,3.0059999999999993
ruler_12_r,average,3.0059999999999993
ruler_13_lr,average,3.0059999999999993
ruler_13_lr-rev,average,3.0059999999999993
ruler_14_lr,average,3.0059999999999993
ruler_14_lr-rev,average,3.0059999999999993
ruler_15_lr,average,3.0059999999999993
ruler_15_lr-rev,average,3.0059999999999993
ruler_16_r,average,3.0059999999999993
ruler_17_lr,average,3.0059999999999993
ruler_17_lr-rev,average,3.0059999999999993
ruler_18_lr,average,3.0059999999999993
ruler_18_lr-rev,average,3.0059999999999993
ruler_19_lr,average,3.0059999999999993
ruler_19_lr-rev,average,3.0059999999999993
ruler_20_lr,average,3.0059999999999993
ruler_20_lr-rev,average,3.0059999999999993
ruler_21_lr,average,3.0059999999999993
ruler_21_lr-rev,average,3.0059999999999993
ruler_22_r,average,3.0059999999999993
ruler_23_r,average,3.0059999999999993
ruler_24_lr,average,3.0059999999999993
ruler_24_lr-rev,average,3.0059999999999993
ruler_25_r,average,3.0059999999999993
ruler_26_r,average,3.0059999999999993
ruler_27_lr,average,3.5059999999999993
ruler_27_lr-rev,average,3.5059999999999993
ruler_28_lr,average,3.5059999999999993
ruler_28_lr-rev,average,3.5059999999999993
ruler_29_lr,average,3.5059999999999993
ruler_29_lr-rev,average,3.5059999999999993
ruler_30_lr,average,3.5059999999999993
ruler_30_lr-rev,average,3.5059999999999993
ruler_31_lr,average,4.005999999999999
ruler_31_lr-rev,average,4.005999999999999
ruler_32_r,average,4.005999999999999
ruler_33_lr,average,4.005999999999999
ruler_33_lr-rev,average,4.005999999999999
ruler_34_lr,average,4.005999999999999
ruler_34_lr-rev,average,4.005999999999999
ruler_35_r,average,4.005999999999999
ruler_36_lr,average,4.005999999999999
ruler_36_lr-rev,average,4.005999999999999
ruler_37_lr,average,4.005999999999999
ruler_37_lr-rev,average,4.005999999999999
ruler_38_r,average,4.005999999999999
ruler_39_lr,average,4.005999999999999
ruler_39_lr-rev,average,4.005999999999999
ruler_40_r,average,4.005999999999999
ruler_41_r,average,4.005999999999999
ruler_42_r,average,4.005999999999999
ruler_43_r,average,4.005999999999999
ruler_44_r,average,4.005999999999999
ruler_45_lr,average,4.005999999999999
