
index,kernel,benchmark,params,cycles,total_time,eqsat_time,max_ram_used,saturated
72,naive.clang,mat-mul,2x2_2x2,30,1.3431313037872314,0.023,0.171819008,yes
73,naive.fixed,mat-mul,2x2_2x2,81,1.3431313037872314,0.023,0.171819008,yes
74,nature,mat-mul,2x2_2x2,248,1.3431313037872314,0.023,0.171819008,yes
75,dios,mat-mul,2x3_3x3,40,1.4188287258148193,0.153,0.1686528,yes
76,eigen,mat-mul,2x3_3x3,22,1.4188287258148193,0.153,0.1686528,yes
77,naive.clang,mat-mul,2x3_3x3,39,1.4188287258148193,0.153,0.1686528,yes
78,naive.fixed,mat-mul,2x3_3x3,168,1.4188287258148193,0.153,0.1686528,yes
79,nature,mat-mul,2x3_3x3,260,1.4188287258148193,0.153,0.1686528,yes
80,dios,mat-mul,3x3_3x3,43,1.6759910583496094,0.406,0.159461376,yes
81,eigen,mat-mul,3x3_3x3,177,1.6759910583496094,0.406,0.159461376,yes
82,naive.clang,mat-mul,3x3_3x3,58,1.6759910583496094,0.406,0.159461376,yes
83,naive.fixed,mat-mul,3x3_3x3,244,1.6759910583496094,0.406,0.159461376,yes
84,nature,mat-mul,3x3_3x3,314,1.6759910583496094,0.406,0.159461376,yes
85,dios,mat-mul,4x4_4x4,48,4.455977439880371,3.192,0.171962368,yes
86,eigen,mat-mul,4x4_4x4,398,4.455977439880371,3.192,0.171962368,yes
87,naive.clang,mat-mul,4x4_4x4,44,4.455977439880371,3.192,0.171962368,yes
88,naive.fixed,mat-mul,4x4_4x4,562,4.455977439880371,3.192,0.171962368,yes
89,nature,mat-mul,4x4_4x4,303,4.455977439880371,3.192,0.171962368,yes
90,dios,mat-mul,8x8_8x8,209,202.0136423110962,200.493,3.985997824,no
91,eigen,mat-mul,8x8_8x8,2935,202.0136423110962,200.493,3.985997824,no
92,naive.clang,mat-mul,8x8_8x8,249,202.0136423110962,200.493,3.985997824,no
93,naive.fixed,mat-mul,8x8_8x8,4272,202.0136423110962,200.493,3.985997824,no
94,nature,mat-mul,8x8_8x8,596,202.0136423110962,200.493,3.985997824,no
95,dios,mat-mul,10x10_10x10,724,211.858877658844,210.086,5.947932672,no
96,eigen,mat-mul,10x10_10x10,5882,211.858877658844,210.086,5.947932672,no
97,naive.clang,mat-mul,10x10_10x10,830,211.858877658844,210.086,5.947932672,no
98,naive.fixed,mat-mul,10x10_10x10,8238,211.858877658844,210.086,5.947932672,no
99,nature,mat-mul,10x10_10x10,1134,211.858877658844,210.086,5.947932672,no
100,dios,mat-mul,16x16_16x16,12699,141.53275609016418,138.757,4.481929216,no
101,eigen,mat-mul,16x16_16x16,11197,141.53275609016418,138.757,4.481929216,no
102,naive.clang,mat-mul,16x16_16x16,1649,141.53275609016418,138.757,4.481929216,no
103,naive.fixed,mat-mul,16x16_16x16,36178,141.53275609016418,138.757,4.481929216,no
104,nature,mat-mul,16x16_16x16,1926,141.53275609016418,138.757,4.481929216,no
105,dios,mat-mul,18x18_18x18,16438,155.66835403442383,152.207,4.821889024,no
106,naive.clang,mat-mul,18x18_18x18,3138,155.66835403442383,152.207,4.821889024,no
