index,date,benchmark,params,exp,timeout,compile_time,cycles,alpha,beta,cost,killed,memory_used
55,Aug31-1025,2d-conv,16x16_4x4,292,180,903.810227870941,,4045.0,3.0,6072.758999999999,False,9.788051456
56,Aug31-1025,2d-conv,16x16_4x4,266,180,635.8572475910187,6860,-1.0,2.0,3982.4509999999996,False,2.27448832
57,Aug31-1025,2d-conv,16x16_4x4,430,180,253.05565476417542,2302,5.0,2025.0,1361795.5469999982,False,31.796563968
58,Aug31-1025,2d-conv,16x16_4x4,259,180,60.822880268096924,7033,4045.0,1.0,3983.3539999999994,False,0.237191168
59,Aug31-1025,2d-conv,16x16_4x4,261,180,45.20386981964111,7033,-4040.0,2.0,3983.3539999999994,False,0.116772864
60,Aug31-1025,2d-conv,16x16_4x4,295,180,71.39814686775208,7159,-15.0,4.0,4021.3410000000003,False,0.152428544
61,Aug31-1025,2d-conv,16x16_4x4,408,180,65.67344665527344,7159,-15.0,2020.0,4021.3410000000003,False,0.15030272
62,Aug31-1025,2d-conv,16x16_4x4,235,180,779.0940599441528,6923,-0.5,0.0,3941.9609999999984,False,2.282504192
63,Aug31-1025,2d-conv,16x16_4x4,232,180,636.2456662654877,7035,-5.0,0.0,4073.38,False,2.24473088
64,Aug31-1025,2d-conv,16x16_4x4,294,180,71.39812064170837,7159,-4035.0,4.0,4021.3410000000003,False,0.152633344
65,Aug31-1025,2d-conv,16x16_4x4,260,180,45.79270339012146,7033,-4045.0,2.0,3983.3539999999994,False,0.116785152
66,Aug31-1025,2d-conv,16x16_4x4,409,180,5.006616115570068,7387,-5.0,2020.0,6142096.345,False,0.195571712
67,Aug31-1025,2d-conv,16x16_4x4,267,180,641.9346754550934,6860,-0.5,2.0,3982.4509999999996,False,2.274279424
68,Aug31-1025,2d-conv,16x16_4x4,431,180,253.04942774772644,2302,10.0,2025.0,1361795.5469999982,False,31.794798592
69,Aug31-1025,2d-conv,16x16_4x4,293,180,45.72476005554199,7033,-4040.0,4.0,3983.3539999999994,False,0.251752448
70,Aug31-1025,2d-conv,16x16_4x4,258,180,386.6362538337707,5619,4035.0,1.0,7039362.119999995,False,53.605228544
71,Aug31-1025,2d-conv,16x16_4x4,407,180,5.005972862243652,7387,-10.0,2020.0,6142096.345,False,0.18399232
72,Aug31-1025,2d-conv,16x16_4x4,251,180,798.4919924736023,7052,-1.0,1.0,3938.9609999999984,False,2.282459136
73,Aug31-1025,2d-conv,16x16_4x4,256,180,391.6791753768921,5619,15.0,1.0,7039362.119999995,False,53.605142528
74,Aug31-1025,2d-conv,16x16_4x4,400,180,248.1972336769104,2348,15.0,30.0,1361795.5469999982,False,31.71391488
75,Aug31-1025,2d-conv,16x16_4x4,269,180,600.5210518836975,7066,0.5,2.0,6499135.409,False,99.603738624
76,Aug31-1025,2d-conv,16x16_4x4,233,180,661.37926030159,7283,-10.0,0.0,3986.623999999999,False,2.262900736
77,Aug31-1025,2d-conv,16x16_4x4,234,180,778.4616711139679,6923,-1.0,0.0,3941.9609999999984,False,2.28247552
78,Aug31-1025,2d-conv,16x16_4x4,346,180,10.623177528381348,5203,-1.0,10.0,6049156.171000001,False,0.448966656
79,Aug31-1025,2d-conv,16x16_4x4,379,180,10.59162425994873,5203,-0.5,20.0,6049156.171000001,False,0.374779904
80,Aug31-1025,2d-conv,16x16_4x4,341,180,45.695311546325684,7033,-4040.0,10.0,3983.3539999999994,False,0.314953728
81,Aug31-1025,2d-conv,16x16_4x4,383,180,248.34892797470096,2342,10.0,20.0,1361795.5469999982,False,31.775674368
82,Aug31-1025,2d-conv,16x16_4x4,377,180,65.79401421546936,7159,-15.0,20.0,4021.3410000000003,False,0.152399872
83,Aug31-1025,2d-conv,16x16_4x4,348,180,233.45173025131226,2409,1.0,10.0,1361795.5469999982,False,72.271396864
84,Aug31-1025,2d-conv,16x16_4x4,370,180,249.4123442173004,2252,4040.0,15.0,1361795.5469999982,False,31.711141888
85,Aug31-1025,2d-conv,16x16_4x4,384,180,248.2931869029999,2342,15.0,20.0,1361795.5469999982,False,31.814447104
86,Aug31-1025,2d-conv,16x16_4x4,324,180,45.13122749328613,7033,-4040.0,6.0,3983.3539999999994,False,0.11659264
87,Aug31-1025,2d-conv,16x16_4x4,323,180,45.723299980163574,7033,-4045.0,6.0,3983.3539999999994,False,0.19560448
88,Aug31-1025,2d-conv,16x16_4x4,315,180,902.8377916812896,,-0.5,5.0,4011.328,False,9.61640448
89,Aug31-1025,2d-conv,16x16_4x4,312,180,633.997184753418,6959,-5.0,5.0,4073.38,False,2.244796416
90,Aug31-1025,2d-conv,16x16_4x4,385,180,248.2849440574646,2342,4035.0,20.0,1361795.5469999982,False,31.710744576
91,Aug31-1025,2d-conv,16x16_4x4,371,180,45.662393569946296,7033,-4045.0,20.0,3983.3539999999994,False,0.284340224
92,Aug31-1025,2d-conv,16x16_4x4,376,180,5.009554862976074,7387,-5.0,20.0,6142096.345,False,0.181690368
93,Aug31-1025,2d-conv,16x16_4x4,382,180,248.3285529613495,2342,5.0,20.0,1361795.5469999982,False,31.811575808
94,Aug31-1025,2d-conv,16x16_4x4,349,180,289.1747121810913,2526,0.5,10.0,1361946.5469999984,False,15.823261696
95,Aug31-1025,2d-conv,16x16_4x4,340,180,45.702995777130134,7033,-4045.0,10.0,3983.3539999999994,False,0.28411904
96,Aug31-1025,2d-conv,16x16_4x4,347,180,10.033989191055296,5203,-0.5,10.0,6049156.171000001,False,0.331943936
97,Aug31-1025,2d-conv,16x16_4x4,378,180,10.023950338363647,5203,-1.0,20.0,6049156.171000001,False,0.282361856
98,Aug31-1025,2d-conv,16x16_4x4,313,180,644.0344932079315,7216,-10.0,5.0,3986.623999999999,False,2.262908928
99,Aug31-1025,2d-conv,16x16_4x4,314,180,902.8394963741302,,-1.0,5.0,4011.328,False,9.293123584
100,Aug31-1025,2d-conv,16x16_4x4,322,180,527.3478133678436,7157,4040.0,5.0,4019.7589999999987,False,24.403509248
